graph_type,nodes,edges,algorithm,time_seconds,memory_bytes
DIMACS-BAY,100,192,Dijkstra,5.136633332843606e-05,6984
DIMACS-BAY,100,192,Bellman-Ford,0.00027763633332256177,18864
DIMACS-BAY,100,192,BMSSP-like,7.595133334348247e-05,6984
DIMACS-BAY,300,614,Dijkstra,6.11549999973704e-05,14024
DIMACS-BAY,300,614,Bellman-Ford,0.002818974666666918,54264
DIMACS-BAY,300,614,BMSSP-like,7.913100000678241e-05,14024
DIMACS-BAY,500,1008,Dijkstra,8.164000000950485e-05,27848
DIMACS-BAY,500,1008,Bellman-Ford,0.0009710509999933947,92304
DIMACS-BAY,500,1008,BMSSP-like,0.0001505519999985457,27848
DIMACS-BAY,1000,2148,Dijkstra,0.00011973333333041107,55496
DIMACS-BAY,1000,2148,Bellman-Ford,0.0020276163333126838,193080
DIMACS-BAY,1000,2148,BMSSP-like,0.00015319733332338123,55496
DIMACS-BAY,2000,4364,Dijkstra,0.00015015633332874737,110792
DIMACS-BAY,2000,4364,Bellman-Ford,NA,NA
DIMACS-BAY,2000,4364,BMSSP-like,0.0001899716666571294,110792
DIMACS-BAY,5000,12956,Dijkstra,0.0005077253333259554,221384
DIMACS-BAY,5000,12956,Bellman-Ford,NA,NA
DIMACS-BAY,5000,12956,BMSSP-like,0.0004807720000030713,221384
DIMACS-BAY,10000,28110,Dijkstra,0.0007574896666634837,442568
DIMACS-BAY,10000,28110,Bellman-Ford,NA,NA
DIMACS-BAY,10000,28110,BMSSP-like,0.0006190473333257766,442568
