graph_type,nodes,edges,algorithm,time_seconds,memory_bytes
DIMACS-NY,100,136,Dijkstra,0.00019193347543478012,7136
DIMACS-NY,100,136,Bellman-Ford,0.0002524334316452344,14984
DIMACS-NY,100,136,BMSSP-like,0.00010906656583150227,8368
DIMACS-NY,300,558,Dijkstra,0.00014266682167847952,14176
DIMACS-NY,300,558,Bellman-Ford,0.0010030333263178666,50160
DIMACS-NY,300,558,BMSSP-like,0.0001134001649916172,14176
DIMACS-NY,500,996,Dijkstra,0.00010166674231489499,28000
DIMACS-NY,500,996,Bellman-Ford,0.0016876331840952237,91464
DIMACS-NY,500,996,BMSSP-like,0.00027486681938171387,28000
DIMACS-NY,1000,2156,Dijkstra,0.0002067334329088529,55648
DIMACS-NY,1000,2156,Bellman-Ford,0.004054599907249212,193520
DIMACS-NY,1000,2156,BMSSP-like,0.0002446334498624007,55648
DIMACS-NY,2000,4666,Dijkstra,0.015257899959882101,136920
DIMACS-NY,2000,4666,Bellman-Ford,NA,NA
DIMACS-NY,2000,4666,BMSSP-like,0.014302366568396488,155952
DIMACS-NY,5000,12204,Dijkstra,0.019206166577835877,301008
DIMACS-NY,5000,12204,Bellman-Ford,NA,NA
DIMACS-NY,5000,12204,BMSSP-like,0.06642203327889244,317048
DIMACS-NY,10000,24120,Dijkstra,0.03647113343079885,500544
DIMACS-NY,10000,24120,Bellman-Ford,NA,NA
DIMACS-NY,10000,24120,BMSSP-like,0.04483976665263375,530656
