graph_type,nodes,edges,algorithm,time_seconds,memory_bytes
DIMACS-NY,100,136,Dijkstra,3.990018740296364e-05,7112
DIMACS-NY,100,136,Bellman-Ford,8.470006287097931e-05,14960
DIMACS-NY,100,136,BMSSP-like,6.0900114476680756e-05,7608
DIMACS-NY,300,558,Dijkstra,0.00012909993529319763,15608
DIMACS-NY,300,558,Bellman-Ford,0.0007714997045695782,55352
DIMACS-NY,300,558,BMSSP-like,0.00023869983851909637,25592
DIMACS-NY,500,996,Dijkstra,0.0002457001246511936,31736
DIMACS-NY,500,996,Bellman-Ford,0.001824100036174059,102960
DIMACS-NY,500,996,BMSSP-like,0.0004321001470088959,48344
DIMACS-NY,1000,2156,Dijkstra,0.0006059999577701092,67456
DIMACS-NY,1000,2156,Bellman-Ford,0.0052375998347997665,220984
DIMACS-NY,1000,2156,BMSSP-like,0.0009910999797284603,98480
DIMACS-NY,2000,4666,Dijkstra,0.0012285001575946808,138000
DIMACS-NY,2000,4666,Bellman-Ford,NA,NA
DIMACS-NY,2000,4666,BMSSP-like,0.0021000998094677925,172816
DIMACS-NY,5000,12204,Dijkstra,0.0032953000627458096,301056
DIMACS-NY,5000,12204,Bellman-Ford,NA,NA
DIMACS-NY,5000,12204,BMSSP-like,0.005547000095248222,366184
DIMACS-NY,10000,24120,Dijkstra,0.004525300115346909,504544
DIMACS-NY,10000,24120,Bellman-Ford,NA,NA
DIMACS-NY,10000,24120,BMSSP-like,0.008341100066900253,559160
